,today,deviceid,survey_real,survey_type,_gps_latitude,_gps_longitude,data_collector,landing_site,landings,trip_info,boat_type,other_boat,engine_yn,engine,gear_type,gear_type_other,fishing_ground_name,fishing_location,fishing_ground_type,fishing_ground_depth,fishing_duration,people,boats_landed,_id,_uuid,_submission_time,_tags,_index,group_catch,species_catch,weight_catch,nb_buckets_catch,wgt_buckets_catch,nb_ind_catch,wgt_ind_catch,_submission__uuid,gear_type/hand_line
37,2021-10-16,collect:sTCmViP5wN3TDoKs,real,catch,-5.2357642,39.7290691,,wesha,,yes,small_sail_boat,,,,long_line_long,,,Kambanga ,reef,,1,1.0,2.0,119663095,5e56db51-bbc3-43a4-8cc6-ecc8cd7564f8,2021-10-18T10:28:42,,30,reef_fish,lethrinidae_lethrinus_spp.,6.0,,,,,5e56db51-bbc3-43a4-8cc6-ecc8cd7564f8,
38,2021-10-18,collect:sTCmViP5wN3TDoKs,real,catch,-5.2357604,39.7292087,,wesha,,yes,canoe,,no,,traps,,,Utalimani ,reef,,2,3.0,0.0,119664836,dba8f439-8722-4ccb-933b-39f565a7fd41,2021-10-18T10:42:39,,31,reef_fish,scaridae_spp. siganidae_siganus_spp. mulidae_spp. acanthuridae_naso_hexacanthus acanthuridae_spp.,6.0,,,,,dba8f439-8722-4ccb-933b-39f565a7fd41,
39,2021-10-18,collect:sTCmViP5wN3TDoKs,real,catch,-5.235818,39.7291958,,wesha,,,,,,,,,,,,,1,3.0,,119666340,25c2d313-8038-4488-a1df-a99c8b96f24a,2021-10-18T10:51:18,,32,reef_fish,acanthuridae_naso_hexacanthus haemulidae_plectorhinchus_chubby mulidae_spp. scaridae_spp.,5.0,,,,,25c2d313-8038-4488-a1df-a99c8b96f24a,
40,2021-10-18,collect:sTCmViP5wN3TDoKs,real,catch,-5.235818,39.7291958,,wesha,,,,,,,,,,,,,1,3.0,,119666340,25c2d313-8038-4488-a1df-a99c8b96f24a,2021-10-18T10:51:18,,32,reef_fish,acanthuridae_spp. serranidae_spp. scaridae_spp. siganidae_siganus_spp.,10.0,,,,,25c2d313-8038-4488-a1df-a99c8b96f24a,
43,2021-10-20,collect:FyIrT6bIIrR5jQmX,real,catch,-6.2070807,39.2077237,,mazizini,,yes,small_sail_boat,,no,,beach_seines,,,Pungume,reef,,1,3.0,7.0,120007710,1d7b1bd2-dd3f-4e40-b7db-81ef576769ca,2021-10-20T08:25:00,,35,reef_fish,haemulidae_plectorhinchus_chubby haemulidae_spp. gerridae_gerres_spp.,1.0,,,,,1d7b1bd2-dd3f-4e40-b7db-81ef576769ca,
45,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358497,39.7292271,,wesha,,yes,canoe,,yes,5.0,traps,,,Utalimani,reef,,3,3.0,1.0,120030228,08ad38b7-91d5-4c4b-9779-96cace11b5d2,2021-10-20T10:45:16,,37,reef_fish,scaridae_spp. lethrinidae_lethrinus_spp. haemulidae_plectorhinchus_chubby caesionidae_casio_xanthonotus,6.0,,,,,08ad38b7-91d5-4c4b-9779-96cace11b5d2,
46,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358497,39.7292271,,wesha,,yes,canoe,,yes,5.0,traps,,,Utalimani,reef,,3,3.0,1.0,120030228,08ad38b7-91d5-4c4b-9779-96cace11b5d2,2021-10-20T10:45:16,,37,reef_fish,scaridae_spp. haemulidae_plectorhinchus_chubby caesionidae_casio_xanthonotus acanthuridae_naso_hexacanthus,4.0,,,,,08ad38b7-91d5-4c4b-9779-96cace11b5d2,
47,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358497,39.7292271,,wesha,,yes,canoe,,yes,5.0,traps,,,Utalimani,reef,,3,3.0,1.0,120030228,08ad38b7-91d5-4c4b-9779-96cace11b5d2,2021-10-20T10:45:16,,37,reef_fish,siganidae_siganus_spp.,7.0,,,,,08ad38b7-91d5-4c4b-9779-96cace11b5d2,
48,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358717,39.7292333,,wesha,,yes,canoe,,no,,traps,,,Kambanga ,seagrass,,3,3.0,1.0,120031237,cc8e917a-81ce-435b-a91e-149b9efb5920,2021-10-20T10:48:58,,38,reef_fish,scaridae_spp.,6.0,,,,,cc8e917a-81ce-435b-a91e-149b9efb5920,
49,2021-10-18,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358311,39.7292535,,wesha,,yes,canoe,,yes,15.0,traps,,,Utalimani ,reef,,3,3.0,,120031361,b5c5138d-a4e5-4870-a366-0ffe4b8299d6,2021-10-20T10:49:33,,39,reef_fish,acanthuridae_spp. mulidae_spp. scaridae_spp. lethrinidae_lethrinus_spp.,5.0,,,,,b5c5138d-a4e5-4870-a366-0ffe4b8299d6,
50,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358271,39.7291909,,wesha,,yes,canoe,,no,,traps,,,Kambanga,seagrass,,3,3.0,1.0,120032869,89748210-0b04-4f65-9611-54e8a98413b7,2021-10-20T10:55:46,,40,reef_fish,scaridae_spp.,6.0,,,,,89748210-0b04-4f65-9611-54e8a98413b7,
51,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358997,39.7292185,,wesha,,yes,canoe,,no,,traps,,,Utalimani,reef,,3,3.0,1.0,120034539,b93471f1-dd91-45a6-9ebe-1860f9a60089,2021-10-20T11:03:44,,41,reef_fish,scaridae_spp.,4.0,,,,,b93471f1-dd91-45a6-9ebe-1860f9a60089,
52,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358997,39.7292185,,wesha,,yes,canoe,,no,,traps,,,Utalimani,reef,,3,3.0,1.0,120034539,b93471f1-dd91-45a6-9ebe-1860f9a60089,2021-10-20T11:03:44,,41,reef_fish,acanthuridae_naso_hexacanthus,4.0,,,,,b93471f1-dd91-45a6-9ebe-1860f9a60089,
53,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358482,39.7292174,,wesha,,yes,canoe,,no,,traps,,,Nguwi,reef,,2,2.0,0.0,120037040,7b5fae14-fb6b-4e87-b8ab-0d8d23d42623,2021-10-20T11:15:54,,42,reef_fish,scaridae_spp.,2.0,,,,,7b5fae14-fb6b-4e87-b8ab-0d8d23d42623,
54,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358372,39.729202,,wesha,,no,,,,,,,,,,,1,2.0,2.0,120037843,3bb520cb-00d4-4dac-890e-ee8636ec7491,2021-10-20T11:19:27,,43,reef_fish,mulidae_spp.,2.0,,,,,3bb520cb-00d4-4dac-890e-ee8636ec7491,
55,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358718,39.7292981,,matemwe,,no,,,,,,,,,,,1,,1.0,120039257,b69a05a9-e966-461d-8068-5c93e23fb2f5,2021-10-20T11:25:32,,44,reef_fish,scaridae_spp.,9.0,,,,,b69a05a9-e966-461d-8068-5c93e23fb2f5,
56,2021-10-20,collect:sTCmViP5wN3TDoKs,real,catch,-5.2358719,39.7292482,,wesha,,yes,canoe,,no,,traps,,,Utalimani,reef,,3,2.0,1.0,120041413,52f0ecd1-4d0d-4029-afa5-3c7d16a4902f,2021-10-20T11:33:14,,45,reef_fish,serranidae_spp.,3.0,,,,,52f0ecd1-4d0d-4029-afa5-3c7d16a4902f,
59,2021-10-20,collect:ahEekP8N7ufmUscF,real,catch,-4.9066517,39.7363883,,msuka,,yes,small_sail_boat,,no,,spear,,,,reef,,1,3.0,1.0,120061055,5f878661-c62d-4056-9152-879d869a34f1,2021-10-20T13:09:43,,48,reef_fish,scaridae_spp. mulidae_spp. lethrinidae_lethrinus_spp.,12.0,,,,,5f878661-c62d-4056-9152-879d869a34f1,
62,2021-10-20,collect:ahEekP8N7ufmUscF,real,catch,-4.9055412,39.7363743,,msuka,,yes,fiberglass_boat,,yes,15.0,long_line_long,,,Kijamba cha kati ,open_ocean,,1,4.0,1.0,120061086,c6f9b02e-1cbe-4f16-a27c-5eb7ed660c0e,2021-10-20T13:09:47,,50,tuna_like,scombridae_thunnus_tonggol,,,,2.0,25.0,c6f9b02e-1cbe-4f16-a27c-5eb7ed660c0e,
63,2021-10-20,collect:ahEekP8N7ufmUscF,real,catch,-4.9055412,39.7363743,,msuka,,yes,fiberglass_boat,,yes,15.0,long_line_long,,,Kijamba cha kati ,open_ocean,,1,4.0,1.0,120061086,c6f9b02e-1cbe-4f16-a27c-5eb7ed660c0e,2021-10-20T13:09:47,,50,tuna_like,scombridae_scomberomorus_spp.,,,,1.0,28.0,c6f9b02e-1cbe-4f16-a27c-5eb7ed660c0e,
