,start,end,today,survey_type,_gps_latitude,_gps_longitude,survey,landing_site,market,surveyor,catch_info,boat_type,other_boat,engine,fishing_location,fishing_start,fishing_end,targeted,last_catch_shark_ray,release_shark_ray,nb_sharks_unsampled,nb_rays_unsampled,nb_shark_like_rays_unsampled,market_info,shark_ray_vendors_nb,_uuid,type,genus,species,local_name,sex,weight,disc_width,disc_length,total_length,fork_length,precaudal_length,gear_type,gear_type/basket_traps,gear_type/hook_line,gear_type/spear_gun,gear_type/beach_seines,gear_type/ring_nets,gear_type/gill_nets_3,gear_type/gill_nets_6,gear_type/longline,gear_type/reef_seine_set_net,gear_type/drift_net,gear_type/other,gear_type_other,price_sold_for,price_sold_usd,_submission__uuid,Scientific_name
0,2021-04-13T12:28:44.145+03:00,2021-04-13T12:39:33.003+03:00,2021-04-13,real,,,landing_site,msuka,,masoud_rashid_masoud,,,,,,,,,,,,,,,,407032f2-cb21-47f1-9173-caaf2bff1cc8,,,Maculabatis ambigua,Barka's whipray,,,,,,,,,,,,,,,,,,,,,,,407032f2-cb21-47f1-9173-caaf2bff1cc8,Maculabatis ambigua
1,2021-04-13T16:18:20.392+03:00,2021-04-13T16:24:35.821+03:00,2021-04-13,real,,,landing_site,bwawani,,abass_othman_mshenga,,,,,,,,,,,,,,,,7b8a4926-982d-4c05-8e99-1d68e108ee72,,,Loxodon macrorhinus,Sliteye shark,,,,,,,,,,,,,,,,,,,,,,,7b8a4926-982d-4c05-8e99-1d68e108ee72,Loxodon macrorhinus
2,2021-04-13T16:24:44.583+03:00,2021-04-13T16:31:29.575+03:00,2021-04-13,real,,,landing_site,bwawani,,abass_othman_mshenga,,,,,,,,,,,,,,,,b781d9f9-ad70-4063-ac38-b84f71ea7e50,,,Acroteriobatus zanzibarensis,Zanzibar guitarfish,,,,,,,,,,,,,,,,,,,,,,,b781d9f9-ad70-4063-ac38-b84f71ea7e50,Acroteriobatus zanzibarensis
3,2021-04-13T16:32:54.325+03:00,2021-04-13T16:39:05.007+03:00,2021-04-13,real,,,landing_site,bwawani,,abass_othman_mshenga,,,,,,,,,,,,,,,,dbe67aa5-167b-445d-ac65-41d276e5ddc9,,,Acroteriobatus zanzibarensis,Zanzibar guitarfish,,,,,,,,,,,,,,,,,,,,,,,dbe67aa5-167b-445d-ac65-41d276e5ddc9,Acroteriobatus zanzibarensis
4,2021-04-09T20:54:52.825+03:00,2021-04-12T15:18:16.537+03:00,2021-04-09,real,,,landing_site,mazizini,,omar_said_omar,,,,,,,,,,,,,,,,d4179ab6-e78f-493a-a42f-606e0bdbf17e,,,Rhynchobatus australiae,Bottlenose wedgefish,,,,,,,,,,,,,,,,,,,,,,,d4179ab6-e78f-493a-a42f-606e0bdbf17e,Rhynchobatus australiae
5,2021-04-13T15:18:56.188+03:00,2021-04-13T15:25:14.946+03:00,2021-04-13,real,,,landing_site,mazizini,,omar_said_omar,,,,,,,,,,,,,,,,a6c3be3f-b103-4c62-adb3-8d8351428db6,,,Pastinachus ater,Broad cowtail ray,,,,,,,,,,,,,,,,,,,,,,,a6c3be3f-b103-4c62-adb3-8d8351428db6,Pastinachus ater
6,2021-04-14T12:15:16.520+03:00,2021-04-14T12:27:41.648+03:00,2021-04-14,real,,,landing_site,bwawani,,abass_othman_mshenga,,,,,,,,,,,,,,,,6a9e0298-13a0-46f3-b3a5-59eff0b626dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-04-14T12:28:36.873+03:00,2021-04-14T12:39:35.957+03:00,2021-04-14,real,,,landing_site,bwawani,,abass_othman_mshenga,,,,,,,,,,,,,,,,af5d9a29-c71e-42bf-bf88-91598e079e43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-04-14T12:50:37.177+03:00,2021-04-14T12:53:37.576+03:00,2021-04-14,real,,,landing_site,bwawani,,abass_othman_mshenga,,,,,,,,,,,,,,,,4aef1b52-e6bf-4337-837c-206e44bf9caf,,,Acroteriobatus zanzibarensis,Zanzibar guitarfish,,,,,,,,,,,,,,,,,,,,,,,4aef1b52-e6bf-4337-837c-206e44bf9caf,Acroteriobatus zanzibarensis
9,2021-04-14T11:25:59.519+03:00,2021-04-14T11:31:49.678+03:00,2021-04-14,real,,,landing_site,msuka,,masoud_rashid_masoud,,,,,,,,,,,,,,,,54abb850-045b-4952-a178-765be488498e,,,Aetobatus ocellatus,Indian eagle ray,,,,,,,,,,,,,,,,,,,,,,,54abb850-045b-4952-a178-765be488498e,Aetobatus ocellatus
