Shark_or_Ray,Scientific_name,Male_size_at_maturity_cm_DW_TL,Female_size_at_maturity_cm_DW_TL,Red_List_Status,IUCN_color
Ray,Acroteriobatus zanzibarensis,,,NT,seagreen
Ray,Aetobatus ocellatus,100.0,150.0,VU,lime
Ray,Aetomylaeus vespertilio,170.0,,EN,darkorange
Shark,Alopias pelagicus,250.0,250.0,EN,darkorange
Shark,Alopias superciliosus,245.0,280.0,VU,lime
Ray,Bathytoshia lata,100.0,110.0,LC,blue
Shark,Carcharhinus albimarginatus,160.0,160.0,VU,lime
Shark,Carcharhinus altimus,215.0,225.0,NT,seagreen
Shark,Carcharhinus amblyrhynchos,110.0,120.0,EN,darkorange
Shark,Carcharhinus brevipinna,,,VU,lime
Shark,Carcharhinus falciformis,180.0,180.0,VU,lime
Shark,Carcharhinus humani,75.0,,DD,grey
Shark,Carcharhinus leucas,160.0,180.0,NT,seagreen
Shark,Carcharhinus limbatus,,,0,
Shark,Carcharhinus longimanus,170.0,175.0,CR,red
Shark,Carcharhinus melanopterus,90.0,95.0,VU,lime
Shark,Carcharhinus obscurus,215.0,220.0,EN,darkorange
Shark,Carcharhinus plumbeus,,,0,
Shark,Carcharhinus sealei,,,0,
Shark,Carcharhinus sorrah,90.0,95.0,NT,seagreen
Shark,Carcharhinus spp,,,NE,grey
Shark,Carcharodon carcharias,310.0,400.0,VU,lime
Shark,Centrophorus spp,,,NE,grey
Shark,Cirrhigaleus asper,90.0,85.0,DD,grey
Ray,Dasyatidae,,,NE,grey
Shark,Echinorhinus brucus,,,0,
Shark,Galeocerdo cuvier,250.0,275.0,NT,seagreen
Shark,Hemipristis elongata,110.0,120.0,VU,lime
Shark,Heptranchias perlo,75.0,90.0,NT,seagreen
Shark,Heterodontus ramalheira,,,DD,grey
Shark,Hexanchus griseus,125.0,400.0,NT,seagreen
Shark,Hexanchus nakamurai,140.0,125.0,NT,seagreen
Ray,Himantura leoparda,70.0,,VU,lime
Ray,Himantura uarnak,80.0,,VU,lime
Shark,Hypogaleus hyugaensis,100.0,100.0,LC,blue
Shark,Isurus oxyrinchus,165.0,265.0,EN,darkorange
Shark,Isurus paucus,165.0,265.0,EN,darkorange
Shark,Loxodon macrorhinus,60.0,80.0,LC,blue
Ray,Maculabatis ambigua,60.0,60.0,NT,seagreen
Ray,Megatrygon microps,,,DD,grey
Ray,Mobula eregoodoo,100.0,90.0,EN,darkorange
Ray,Mobula kuhlii,115.0,115.0,EN,darkorange
Ray,Mobula mobular,200.0,235.0,EN,darkorange
Ray,Mobula tarapacana,235.0,270.0,EN,darkorange
Ray,Mobula thurstoni,150.0,150.0,EN,darkorange
Shark,Mustelus manazo,55.0,60.0,EN,darkorange
Shark,Mustelus mosis,65.0,75.0,NT,seagreen
Ray,Neotrygon caeruleopunctata,30.0,,NE,grey
Shark,Odontaspis ferox,200.0,300.0,VU,lime
Ray,Pastinachus ater,,,LC,blue
Ray,Pateobatis fai,110.0,,VU,lime
Ray,Pateobatis jenkinsii,75.0,,VU,lime
Shark,Prionace glauca,185.0,185.0,NT,seagreen
Shark,Pseudoginglymostoma brevicaudatum,60.0,55.0,CR,red
Ray,Rhina ancylostoma,,,0,
Ray,Rhina ancylostomus,150.0,180.0,CR,red
Ray,Rhinobatos austini,,,DD,grey
Ray,Rhinoptera jayakari,80.0,,NE,grey
Shark,Rhizoprionodon acutus,55.0,60.0,VU,lime
Ray,Rhynchobatus australiae,125.0,155.0,CR,red
Shark,Sphyrna lewini,140.0,210.0,CR,red
Shark,Sphyrna mokarran,225.0,210.0,CR,red
Shark,Sphyrna spp,,,0,
Shark,Sphyrna zygaena,250.0,265.0,VU,lime
Shark,Squalus mitsukurii,,,0,
Shark,Squalus spp,90.0,85.0,NE,grey
Shark,Stegostoma tigrinum,150.0,170.0,EN,darkorange
Ray,Taeniura lymma,20.0,,NT,seagreen
Ray,Taeniurops meyeni,100.0,,VU,lime
Ray,Torpedo fuscomaculata,,,DD,grey
Shark,Triaenodon obesus,105.0,105.0,VU,lime
Ray,Urogymnus asperrimus,90.0,100.0,VU,lime
