Index,Landing site
,
,
,
2021-04-17,Nungwi
2021-04-17,Nungwi
,
,
,
,
,
,
,
,
2021-07-15,Kizimkazi dimbani
2021-07-15,Kizimkazi dimbani
2021-07-15,Kizimkazi dimbani
2021-07-15,Kizimkazi dimbani
2021-07-19,Kizimkazi dimbani
2021-07-19,Kizimkazi dimbani
,
,
,
,
2021-07-21,Kizimkazi dimbani
2021-07-21,Kizimkazi dimbani
2021-07-21,Kizimkazi dimbani
2021-07-22,Kizimkazi dimbani
2021-07-22,Kizimkazi dimbani
2021-07-22,Kizimkazi dimbani
2021-07-22,Kizimkazi dimbani
,
2021-07-29,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-08-04,Kizimkazi dimbani
2021-08-04,Kizimkazi dimbani
2021-08-04,Kizimkazi dimbani
2021-08-04,Kizimkazi dimbani
,
,
,
2021-08-05,Kizimkazi dimbani
2021-08-05,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-08-09,Kizimkazi dimbani
,
,
,
2021-08-09,Mazizini
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-08-11,Kizimkazi dimbani
2021-08-11,Kizimkazi dimbani
2021-08-10,Tumbuyu
,
,
,
,
,
,
,
,
,
,
2021-08-12,Kizimkazi dimbani
,
2021-08-16,Kizimkazi dimbani
2021-08-16,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
2021-08-17,Kukuu
,
,
,
,
,
,
2021-08-17,Tumbuyu
,
,
,
,
,
,
,
,
2021-08-22,Sumbauranga
,
,
,
,
,
,
,
2021-08-23,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-08-28,Tumbuyu
,
2021-08-30,Kizimkazi dimbani
2021-08-30,Kizimkazi dimbani
,
,
2021-08-30,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-08-30,Kizimkazi dimbani
2021-08-30,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-09-01,Kizimkazi dimbani
,
,
,
,
,
2021-09-02,Kizimkazi dimbani
2021-09-02,Kizimkazi dimbani
2021-09-02,Kizimkazi dimbani
,
,
,
,
,
,
2021-08-28,Tumbuyu
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-09-07,Sumbauranga
,
,
,
,
,
2021-09-08,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-09-13,Kizimkazi dimbani
2021-09-13,Kizimkazi dimbani
2021-09-13,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-09-16,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
2021-09-20,Kizimkazi dimbani
2021-09-20,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
